"Time_Period","Export","Import","Mining_Index","Electricity_Index","CokeFuel_Index","WPI_OILS","Silver_Price","Gold_Price","Oil_Price"
"Apr-05",2990,13511,100.9,103,87.6,107.2,1245.75,18775.03,2316.53
"May-05",2697,14178,103.3,108.2,95.4,107.4,1221.24,18347.73,2166.31
"Jun-05",3660,13495,98.1,104.1,97.7,108.8,1274.45,18770.71,2457.81
"Jul-05",3287,15215,95.5,101.7,101.3,114.1,1220.79,18480.74,2554.34
"Aug-05",4125,17275,91.4,106.6,100.6,113.9,1226.76,19105.09,2833.94
"Sep-05",4596,17778,93.7,99.5,97,119.7,1256.01,20028.12,2878.29
"Oct-05",5457,15423,100.4,106.7,91.1,121.7,1375.15,21062.09,2795.13
"Nov-05",4689,15382,101.2,101,92.1,121.5,1439.46,21796.27,2664.92
"Dec-05",4778,16967,108.7,106.8,112,121.3,1576.12,23290.2,2712.55
"Jan-06",5544,18502,110.8,109.9,113.9,121,1623.21,24412.96,2907.21
"Feb-06",5194,18219,104.3,102.6,103.9,121.8,1689.9,24603.73,2731.68
"Mar-06",4517,18695,118.8,111.8,115.1,122.4,1846.62,24776.86,2797.06
"Apr-06",4230,17855,103,109.1,100,122.9,2267.25,27448.36,3119.94
"May-06",6646,22052,106.5,113.7,107.5,124.4,2430.29,30668.85,3220.87
"Jun-06",9266,22467,102.7,109.2,110,129.1,1989.6,27455.96,3266.71
"Jul-06",9934,23795,100.4,110.8,114.2,130.7,2086.81,29439.75,3456.34
"Aug-06",8336,25798,92,111,109.4,131.4,2269.25,29440.16,3399.22
"Sep-06",7307,23808,97.6,110.7,108.9,130.8,2154.77,27589.09,2943.44
"Oct-06",6865,25270,106.3,117,114.6,130.6,2102.46,26634.49,2675.82
"Nov-06",6079,19145,108.2,109.8,113,129.4,2320,28162.57,2652.4
"Dec-06",6666,19828,115.5,116.5,116.5,125.8,2370.99,28110.36,2767.34
"Jan-07",6334,16659,119,118.9,120.2,126.1,2277.28,27985.75,2404.97
"Feb-07",5645,19852,111.8,106.1,112.6,124.3,2457.19,29356.92,2616.62
"Mar-07",7212,21522,127.6,120.7,124.1,123.3,2321.02,28832.3,2667.95
"Apr-07",8796,23154,106.3,118.6,113.4,123.7,2313.25,28636.16,2695.14
"May-07",9093,22890,109.7,124.3,121,123.9,2145.66,27220.91,2588.25
"Jun-07",8603,24015,103.9,116.6,117.9,123.8,2142.45,26726.01,2751.03
"Jul-07",8905,22632,103.2,119.1,118.4,124.1,2087.1,26892.24,2996.47
"Aug-07",8039,25318,102.9,121.1,119.5,124.4,2013.13,27160.45,2954.38
"Sep-07",8475,23363,101.6,115.8,113.5,124.3,2070.25,28748.3,3223.57
"Oct-07",9582,25780,110.9,122,117.8,124.9,2160.58,29816.65,3394.18
